epoch,train_loss,val_auc,val_acc
1,0.18636446112033092,0.6473535859693079,0.509090909090909
2,0.18404837088151413,0.637801440651425,0.37575757575757573
3,0.1773786284255259,0.6475101785155026,0.4909090909090909
4,0.16735944495056615,0.6450046977763858,0.6060606060606061
5,0.1532272710944667,0.6545568430942688,0.5515151515151515
6,0.14814959489034885,0.6661446915126841,0.5454545454545454
7,0.13918193427450729,0.6868149076103978,0.593939393939394
8,0.13753228328670516,0.6849357970560601,0.6303030303030303
9,0.137449073881814,0.6644221735045411,0.5818181818181818
10,0.13391270754915297,0.6576886940181648,0.5878787878787879
11,0.12038674727082252,0.645631067961165,0.5696969696969697
12,0.10931941994437666,0.6403069213905419,0.5818181818181818
13,0.11120400880322312,0.6470404008769182,0.5757575757575758
14,0.10466902073134075,0.6518947698089571,0.6
15,0.10649225482096275,0.6490761039774506,0.6
16,0.09649296589195729,0.6522079549013466,0.5757575757575758
17,0.1028958198755528,0.6526777325399311,0.5818181818181818
18,0.09268024963411418,0.648762918885061,0.6121212121212121
19,0.10615404591415868,0.6509552145317883,0.6121212121212121
20,0.10691711120307446,0.6515815847165675,0.6121212121212121
21,0.11158171332808155,0.6515815847165675,0.6121212121212121
22,0.09631487055484092,0.6520513623551518,0.6121212121212121
23,0.10820559176870367,0.6498590667084246,0.6121212121212121
24,0.09777181335358005,0.6515815847165675,0.6121212121212121
25,0.1100797210904685,0.6544002505480739,0.6181818181818182
26,0.10220191586536892,0.6476667710616975,0.5818181818181818
27,0.09484963673872478,0.6600375822110868,0.593939393939394
28,0.10827613609532515,0.6467272157845286,0.5818181818181818
29,0.09094400664960796,0.6520513623551518,0.6
30,0.08602831092747774,0.6398371437519574,0.5818181818181818
31,0.08763816210469513,0.6550266207328532,0.5757575757575758
32,0.08906438021327961,0.6603507673034763,0.5878787878787879
