strategy,AUC,Accuracy,Sensitivity,Specificity,Threshold,TP,TN,FP,FN
ResNet18 (baseline),0.6569069069069069,0.6027397260273972,0.3888888888888889,0.8108108108108109,0.6245967,14,30,7,22
BrainIAC (baseline),0.6576576576576576,0.6575342465753424,0.5277777777777778,0.7837837837837838,0.49466464,19,29,8,17
ensemble:mean,0.6644144144144144,0.5753424657534246,0.25,0.8918918918918919,0.60352502,9,33,4,27
ensemble:rank,0.6816816816816816,0.6438356164383562,0.5555555555555556,0.7297297297297297,0.5848484848484848,20,27,10,16
ensemble:owa,0.6644144144144144,0.5753424657534246,0.25,0.8918918918918919,0.6039827239311204,9,33,4,27
ensemble:stacking,0.6689189189189189,0.5616438356164384,0.2222222222222222,0.8918918918918919,0.414881929692662,8,33,4,28
ensemble:bayesian,0.6659159159159159,0.589041095890411,0.25,0.918918918918919,0.58929266425,9,34,3,27
