Region,SaliencyVoxels,SaliencyVolume_mm3,RawImportance%
Left-Cerebral-Cortex,19604,169719.81,4.43
Left-Cerebral-White-Matter,17582,152214.54,3.97
Right-Cerebral-Cortex,15128,130969.26,3.42
Right-Cerebral-White-Matter,13188,114173.89,2.98
Left-Cerebellum-Cortex,5267,45598.56,1.19
Right-Cerebellum-Cortex,2513,21756.06,0.57
Brain-Stem,2152,18630.74,0.49
Left-Cerebellum-White-Matter,1536,13297.78,0.35
Right-Cerebellum-White-Matter,1272,11012.22,0.29
Left-Thalamus,942,8155.28,0.21
Right-Thalamus,949,8215.88,0.21
Right-Putamen,664,5748.52,0.15
Left-Putamen,679,5878.38,0.15
Left-Lateral-Ventricle,566,4900.09,0.13
Right-Lateral-Ventricle,554,4796.2,0.13
Right-Hippocampus,500,4328.7,0.11
Right-Caudate,475,4112.27,0.11
Left-Hippocampus,485,4198.84,0.11
Right-Ventral-DC,454,3930.46,0.1
Left-Ventral-DC,447,3869.86,0.1
Left-Caudate,454,3930.46,0.1
4th-Ventricle,207,1792.08,0.05
Left-Pallidum,205,1774.77,0.05
Right-Pallidum,206,1783.43,0.05
Right-Amygdala,182,1575.65,0.04
Left-Amygdala,195,1688.19,0.04
Left-Inferior-Lateral-Ventricle,73,631.99,0.02
3rd-Ventricle,106,917.69,0.02
Left-Accumbens-Area,92,796.48,0.02
Right-Inferior-Lateral-Ventricle,74,640.65,0.02
Right-Accumbens-Area,86,744.54,0.02
