Region,SaliencyVoxels,SaliencyVolume_mm3,RawImportance%
Right-Cerebral-White-Matter,44254,180872.85,12.39
Left-Cerebral-White-Matter,44021,179920.54,12.33
Right-Cerebral-Cortex,38073,155610.16,10.66
Left-Cerebral-Cortex,37082,151559.79,10.39
Left-Cerebellum-Cortex,6992,28577.37,1.96
Right-Cerebellum-Cortex,6213,25393.48,1.74
Brain-Stem,3500,14305.03,0.98
Left-Cerebellum-White-Matter,2764,11296.89,0.77
Right-Cerebellum-White-Matter,2666,10896.35,0.75
Left-Thalamus,1322,5403.22,0.37
Right-Thalamus,1287,5260.17,0.36
Left-Ventral-DC,673,2750.65,0.19
Right-Ventral-DC,662,2705.69,0.19
Left-Putamen,620,2534.03,0.17
Right-Putamen,519,2121.23,0.15
Right-Hippocampus,413,1687.99,0.12
Left-Caudate,439,1794.26,0.12
Left-Hippocampus,386,1577.64,0.11
Right-Caudate,389,1589.9,0.11
Right-Pallidum,276,1128.05,0.08
Left-Pallidum,290,1185.27,0.08
Left-Lateral-Ventricle,226,923.7,0.06
Left-Amygdala,205,837.87,0.06
Right-Amygdala,202,825.6,0.06
Right-Lateral-Ventricle,223,911.44,0.06
Right-Accumbens-Area,91,371.93,0.03
3rd-Ventricle,66,269.75,0.02
Left-Accumbens-Area,71,290.19,0.02
4th-Ventricle,42,171.66,0.01
Left-Inferior-Lateral-Ventricle,17,69.48,0.0
Right-Inferior-Lateral-Ventricle,14,57.22,0.0
