Region,SaliencyVoxels,SaliencyVolume_mm3,RawImportance%
Right-Cerebral-Cortex,48267,197274.59,25.1
Right-Cerebral-White-Matter,46367,189509.0,24.11
Left-Cerebral-White-Matter,27636,112952.55,14.37
Left-Cerebral-Cortex,16791,68627.38,8.73
Right-Cerebellum-Cortex,9283,37941.04,4.83
Left-Cerebellum-Cortex,7113,29071.92,3.7
Brain-Stem,3344,13667.44,1.74
Right-Cerebellum-White-Matter,3213,13132.02,1.67
Left-Cerebellum-White-Matter,3143,12845.92,1.63
Right-Thalamus,1327,5423.65,0.69
Left-Thalamus,1227,5014.94,0.64
Right-Putamen,1169,4777.88,0.61
Right-Hippocampus,969,3960.45,0.5
Left-Ventral-DC,849,3469.99,0.44
Left-Putamen,842,3441.38,0.44
Right-Ventral-DC,851,3478.17,0.44
Left-Hippocampus,552,2256.11,0.29
Right-Pallidum,434,1773.82,0.23
Left-Pallidum,425,1737.04,0.22
Right-Amygdala,312,1275.19,0.16
Left-Amygdala,266,1087.18,0.14
Right-Caudate,204,833.78,0.11
Right-Lateral-Ventricle,199,813.34,0.1
Left-Caudate,154,629.42,0.08
Left-Accumbens-Area,149,608.99,0.08
Right-Accumbens-Area,160,653.94,0.08
Right-Inferior-Lateral-Ventricle,126,514.98,0.07
4th-Ventricle,103,420.98,0.05
3rd-Ventricle,75,306.54,0.04
Left-Lateral-Ventricle,84,343.32,0.04
Left-Inferior-Lateral-Ventricle,69,282.01,0.04
