Region,SaliencyVoxels,SaliencyVolume_mm3,RegionVolume_mm3,VolumeNormImportance%
Right-Cerebellum-Cortex,8633,35284.39,38764.91,91.02
Left-Cerebellum-Cortex,8846,36154.95,42530.02,85.01
Left-Cerebellum-White-Matter,2965,12118.41,15413.9,78.62
Right-Cerebral-Cortex,49550,202518.41,274192.25,73.86
Right-Cerebellum-White-Matter,2692,11002.61,14926.23,73.71
Right-Cerebral-White-Matter,35204,143884.12,219032.73,65.69
Left-Amygdala,226,923.7,1591.65,58.03
Left-Cerebral-White-Matter,25157,102820.5,218078.45,47.15
Left-Accumbens-Area,76,310.62,750.18,41.41
Left-Cerebral-Cortex,26277,107398.11,272523.3,39.41
Left-Hippocampus,346,1414.15,4290.3,32.96
Right-Amygdala,90,367.84,1503.46,24.47
Left-Putamen,340,1389.63,5991.65,23.19
Brain-Stem,970,3964.54,18370.56,21.58
Left-Inferior-Lateral-Ventricle,38,155.31,738.11,21.04
Left-Pallidum,90,367.84,1899.58,19.36
Left-Ventral-DC,171,698.9,3932.3,17.77
Right-Inferior-Lateral-Ventricle,27,110.35,774.74,14.24
Right-Hippocampus,113,461.85,4459.51,10.36
4th-Ventricle,43,175.75,1729.33,10.16
Right-Accumbens-Area,15,61.31,820.38,7.47
Right-Putamen,67,273.84,5705.12,4.8
Left-Thalamus,93,380.11,8512.04,4.47
Left-Caudate,37,151.22,3935.41,3.84
Right-Caudate,13,53.13,4109.87,1.29
Left-Lateral-Ventricle,7,28.61,5343.43,0.54
