epoch,train_loss,val_auc,val_acc
1,0.6901149639577576,0.605543376135296,0.37575757575757573
2,0.635492593050003,0.6930786094581898,0.5272727272727272
3,0.593777927124139,0.6954274976511119,0.6121212121212121
4,0.5218999480659311,0.6709990604447228,0.42424242424242425
5,0.4966180764816024,0.6539304729094896,0.6242424242424243
6,0.453205240269502,0.6578452865643596,0.6242424242424243
7,0.37638679029363575,0.6454744754149702,0.6242424242424243
8,0.38378303172913464,0.6697463200751644,0.509090909090909
9,0.3697320272750927,0.6626996554963984,0.4909090909090909
10,0.34798807106686364,0.6539304729094895,0.5272727272727272
11,0.32191934980677833,0.6512683996241778,0.5818181818181818
12,0.33703081974703253,0.6529909176323206,0.6363636363636364
13,0.28875037755704286,0.6572189163795803,0.6060606060606061
14,0.2836844071520097,0.6561227685562168,0.6121212121212121
15,0.31228111871715747,0.6584716567491387,0.6303030303030303
16,0.31182286877636656,0.6728781709990603,0.6303030303030303
17,0.2690932825094823,0.6711556529909176,0.6424242424242425
18,0.2649831961840391,0.6689633573441904,0.6242424242424243
19,0.285293842321544,0.6694331349827748,0.6303030303030303
20,0.27837430885569614,0.6700595051675541,0.6242424242424243
21,0.2852913095192476,0.6673974318822424,0.6484848484848484
22,0.2714776979364229,0.6680238020670215,0.6303030303030303
23,0.24885676167340892,0.66144691512684,0.6545454545454545
24,0.28410279307740205,0.6706858753523333,0.6606060606060606
25,0.2804505223577673,0.6626996554963983,0.6484848484848484
26,0.26007606817240064,0.6683369871594113,0.6363636363636364
27,0.27042939588427545,0.6752270591919824,0.5454545454545454
28,0.26720236984617785,0.6709990604447228,0.5454545454545454
