Region,SaliencyVoxels,SaliencyVolume_mm3,RawImportance%
Right-Cerebral-Cortex,46341,189402.73,24.88
Right-Cerebral-White-Matter,36654,149810.49,19.68
Left-Cerebral-White-Matter,29606,121004.24,15.89
Left-Cerebral-Cortex,24614,100601.17,13.21
Right-Cerebellum-Cortex,8762,35811.63,4.7
Left-Cerebellum-Cortex,8525,34842.98,4.58
Right-Cerebellum-White-Matter,2642,10798.26,1.42
Left-Cerebellum-White-Matter,2613,10679.73,1.4
Brain-Stem,865,3535.39,0.46
Right-Hippocampus,369,1508.16,0.2
Right-Putamen,169,690.73,0.09
Left-Putamen,170,694.82,0.09
Left-Hippocampus,143,584.46,0.08
Left-Thalamus,122,498.63,0.07
Left-Ventral-DC,126,514.98,0.07
Right-Ventral-DC,119,486.37,0.06
Right-Pallidum,105,429.15,0.06
Left-Amygdala,99,404.63,0.05
Left-Pallidum,76,310.62,0.04
Right-Thalamus,80,326.97,0.04
Left-Inferior-Lateral-Ventricle,33,134.88,0.02
4th-Ventricle,42,171.66,0.02
Right-Amygdala,41,167.57,0.02
Right-Lateral-Ventricle,35,143.05,0.02
Right-Inferior-Lateral-Ventricle,43,175.75,0.02
Left-Caudate,15,61.31,0.01
Left-Lateral-Ventricle,2,8.17,0.0
Left-Accumbens-Area,7,28.61,0.0
Right-Caudate,2,8.17,0.0
Right-Accumbens-Area,1,4.09,0.0
