Region,SaliencyVoxels,SaliencyVolume_mm3,RegionVolume_mm3,VolumeNormImportance%
Right-Cerebellum-Cortex,8762,35811.63,38764.91,92.38
Left-Cerebellum-Cortex,8525,34842.98,42530.02,81.93
Right-Cerebellum-White-Matter,2642,10798.26,14926.23,72.34
Left-Cerebellum-White-Matter,2613,10679.73,15413.9,69.29
Right-Cerebral-Cortex,46341,189402.73,274192.25,69.08
Right-Cerebral-White-Matter,36654,149810.49,219032.73,68.4
Left-Cerebral-White-Matter,29606,121004.24,218078.45,55.49
Left-Cerebral-Cortex,24614,100601.17,272523.3,36.91
Right-Hippocampus,369,1508.16,4459.51,33.82
Left-Amygdala,99,404.63,1591.65,25.42
Right-Pallidum,105,429.15,1858.25,23.09
Right-Inferior-Lateral-Ventricle,43,175.75,774.74,22.68
Brain-Stem,865,3535.39,18370.56,19.24
Left-Inferior-Lateral-Ventricle,33,134.88,738.11,18.27
Left-Pallidum,76,310.62,1899.58,16.35
Left-Hippocampus,143,584.46,4290.3,13.62
Left-Ventral-DC,126,514.98,3932.3,13.1
Right-Ventral-DC,119,486.37,3827.96,12.71
Right-Putamen,169,690.73,5705.12,12.11
Left-Putamen,170,694.82,5991.65,11.6
Right-Amygdala,41,167.57,1503.46,11.15
4th-Ventricle,42,171.66,1729.33,9.93
Left-Thalamus,122,498.63,8512.04,5.86
Right-Thalamus,80,326.97,8375.05,3.9
Left-Accumbens-Area,7,28.61,750.18,3.81
Right-Lateral-Ventricle,35,143.05,5197.81,2.75
Left-Caudate,15,61.31,3935.41,1.56
Right-Accumbens-Area,1,4.09,820.38,0.5
Right-Caudate,2,8.17,4109.87,0.2
Left-Lateral-Ventricle,2,8.17,5343.43,0.15
