Region,SaliencyVoxels,SaliencyVolume_mm3,RawImportance%
Right-Cerebral-Cortex,51046,208632.79,27.16
Right-Cerebral-White-Matter,43836,179164.42,23.32
Left-Cerebral-White-Matter,24957,102003.07,13.28
Left-Cerebral-Cortex,19726,80623.17,10.5
Right-Cerebellum-Cortex,8863,36224.43,4.72
Left-Cerebellum-Cortex,6638,27130.52,3.53
Right-Cerebellum-White-Matter,3110,12711.04,1.65
Left-Cerebellum-White-Matter,2843,11619.77,1.51
Brain-Stem,2267,9265.57,1.21
Right-Hippocampus,795,3249.29,0.42
Right-Putamen,748,3057.19,0.4
Right-Ventral-DC,459,1876.0,0.24
Right-Thalamus,355,1450.94,0.19
Right-Pallidum,283,1156.66,0.15
Right-Amygdala,218,891.0,0.12
Left-Hippocampus,127,519.07,0.07
Left-Amygdala,112,457.76,0.06
Right-Inferior-Lateral-Ventricle,98,400.54,0.05
Right-Lateral-Ventricle,58,237.05,0.03
Left-Thalamus,51,208.44,0.03
4th-Ventricle,47,192.1,0.03
Left-Putamen,43,175.75,0.02
Left-Ventral-DC,36,147.14,0.02
Left-Inferior-Lateral-Ventricle,27,110.35,0.01
Left-Lateral-Ventricle,1,4.09,0.0
Left-Pallidum,6,24.52,0.0
Left-Caudate,7,28.61,0.0
Right-Caudate,9,36.78,0.0
Right-Accumbens-Area,6,24.52,0.0
