Region,SaliencyVoxels,SaliencyVolume_mm3,RegionVolume_mm3,VolumeNormImportance%
Right-Cerebellum-Cortex,8863,36224.43,38764.91,93.45
Right-Cerebellum-White-Matter,3110,12711.04,14926.23,85.16
Right-Cerebral-White-Matter,43836,179164.42,219032.73,81.8
Right-Cerebral-Cortex,51046,208632.79,274192.25,76.09
Left-Cerebellum-White-Matter,2843,11619.77,15413.9,75.39
Right-Hippocampus,795,3249.29,4459.51,72.86
Left-Cerebellum-Cortex,6638,27130.52,42530.02,63.79
Right-Pallidum,283,1156.66,1858.25,62.24
Right-Amygdala,218,891.0,1503.46,59.26
Right-Putamen,748,3057.19,5705.12,53.59
Right-Inferior-Lateral-Ventricle,98,400.54,774.74,51.7
Brain-Stem,2267,9265.57,18370.56,50.44
Right-Ventral-DC,459,1876.0,3827.96,49.01
Left-Cerebral-White-Matter,24957,102003.07,218078.45,46.77
Left-Cerebral-Cortex,19726,80623.17,272523.3,29.58
Left-Amygdala,112,457.76,1591.65,28.76
Right-Thalamus,355,1450.94,8375.05,17.32
Left-Inferior-Lateral-Ventricle,27,110.35,738.11,14.95
Left-Hippocampus,127,519.07,4290.3,12.1
4th-Ventricle,47,192.1,1729.33,11.11
Right-Lateral-Ventricle,58,237.05,5197.81,4.56
Left-Ventral-DC,36,147.14,3932.3,3.74
Right-Accumbens-Area,6,24.52,820.38,2.99
Left-Putamen,43,175.75,5991.65,2.93
Left-Thalamus,51,208.44,8512.04,2.45
Left-Pallidum,6,24.52,1899.58,1.29
Right-Caudate,9,36.78,4109.87,0.9
Left-Caudate,7,28.61,3935.41,0.73
Left-Lateral-Ventricle,1,4.09,5343.43,0.08
