Region,SaliencyVoxels,SaliencyVolume_mm3,RawImportance%
Right-Cerebral-Cortex,52978,216529.17,28.4
Right-Cerebral-White-Matter,38660,158009.32,20.72
Left-Cerebral-Cortex,19088,78015.57,10.23
Left-Cerebral-White-Matter,18284,74729.5,9.8
Right-Cerebellum-Cortex,9851,40262.54,5.28
Left-Cerebellum-Cortex,7354,30056.92,3.94
Right-Cerebellum-White-Matter,3215,13140.2,1.72
Brain-Stem,2878,11762.82,1.54
Left-Cerebellum-White-Matter,2710,11076.18,1.45
Right-Hippocampus,973,3976.8,0.52
Right-Ventral-DC,753,3077.63,0.4
Right-Putamen,726,2967.27,0.39
Left-Ventral-DC,583,2382.81,0.31
Right-Thalamus,399,1630.77,0.21
Left-Thalamus,364,1487.72,0.2
Right-Pallidum,336,1373.28,0.18
Right-Amygdala,327,1336.5,0.18
Left-Hippocampus,259,1058.57,0.14
Left-Putamen,160,653.94,0.09
Left-Amygdala,138,564.03,0.07
Right-Inferior-Lateral-Ventricle,124,506.81,0.07
Right-Accumbens-Area,108,441.41,0.06
4th-Ventricle,112,457.76,0.06
Left-Pallidum,98,400.54,0.05
Left-Accumbens-Area,94,384.19,0.05
Right-Lateral-Ventricle,83,339.23,0.04
Left-Inferior-Lateral-Ventricle,11,44.96,0.01
Left-Lateral-Ventricle,17,69.48,0.01
Left-Caudate,26,106.27,0.01
Right-Caudate,26,106.27,0.01
3rd-Ventricle,9,36.78,0.0
