Region,SaliencyVoxels,SaliencyVolume_mm3,RegionVolume_mm3,VolumeNormImportance%
Right-Cerebellum-Cortex,9851,40262.54,38764.91,103.86
Right-Hippocampus,973,3976.8,4459.51,89.18
Right-Amygdala,327,1336.5,1503.46,88.89
Right-Cerebellum-White-Matter,3215,13140.2,14926.23,88.03
Right-Ventral-DC,753,3077.63,3827.96,80.4
Right-Cerebral-Cortex,52978,216529.17,274192.25,78.97
Right-Pallidum,336,1373.28,1858.25,73.9
Right-Cerebral-White-Matter,38660,158009.32,219032.73,72.14
Left-Cerebellum-White-Matter,2710,11076.18,15413.9,71.86
Left-Cerebellum-Cortex,7354,30056.92,42530.02,70.67
Right-Inferior-Lateral-Ventricle,124,506.81,774.74,65.42
Brain-Stem,2878,11762.82,18370.56,64.03
Left-Ventral-DC,583,2382.81,3932.3,60.6
Right-Accumbens-Area,108,441.41,820.38,53.81
Right-Putamen,726,2967.27,5705.12,52.01
Left-Accumbens-Area,94,384.19,750.18,51.21
Left-Amygdala,138,564.03,1591.65,35.44
Left-Cerebral-White-Matter,18284,74729.5,218078.45,34.27
Left-Cerebral-Cortex,19088,78015.57,272523.3,28.63
4th-Ventricle,112,457.76,1729.33,26.47
Left-Hippocampus,259,1058.57,4290.3,24.67
Left-Pallidum,98,400.54,1899.58,21.09
Right-Thalamus,399,1630.77,8375.05,19.47
Left-Thalamus,364,1487.72,8512.04,17.48
Left-Putamen,160,653.94,5991.65,10.91
Right-Lateral-Ventricle,83,339.23,5197.81,6.53
Left-Inferior-Lateral-Ventricle,11,44.96,738.11,6.09
3rd-Ventricle,9,36.78,783.05,4.7
Left-Caudate,26,106.27,3935.41,2.7
Right-Caudate,26,106.27,4109.87,2.59
Left-Lateral-Ventricle,17,69.48,5343.43,1.3
