Region,SaliencyVoxels,SaliencyVolume_mm3,RegionVolume_mm3,VolumeNormImportance%
Right-Cerebral-White-Matter,43756,178837.45,219032.73,81.65
Left-Cerebral-White-Matter,43523,177885.14,218078.45,81.57
Brain-Stem,3483,14235.55,18370.56,77.49
Left-Cerebellum-White-Matter,2769,11317.33,15413.9,73.42
Right-Cerebellum-White-Matter,2629,10745.12,14926.23,71.99
Left-Ventral-DC,687,2807.87,3932.3,71.41
Right-Ventral-DC,644,2632.13,3827.96,68.76
Left-Cerebellum-Cortex,6911,28246.31,42530.02,66.42
Right-Cerebellum-Cortex,5990,24482.04,38764.91,63.16
Left-Thalamus,1281,5235.64,8512.04,61.51
Right-Thalamus,1249,5104.85,8375.05,60.95
Right-Pallidum,277,1132.14,1858.25,60.93
Left-Pallidum,268,1095.36,1899.58,57.66
Right-Cerebral-Cortex,36580,149508.04,274192.25,54.53
Left-Cerebral-Cortex,35999,147133.4,272523.3,53.99
Right-Amygdala,196,801.08,1503.46,53.28
Left-Caudate,452,1847.39,3935.41,46.94
Left-Amygdala,182,743.86,1591.65,46.74
Right-Accumbens-Area,86,351.5,820.38,42.85
Right-Hippocampus,450,1839.22,4459.51,41.24
Right-Caudate,413,1687.99,4109.87,41.07
Left-Accumbens-Area,71,290.19,750.18,38.68
Left-Putamen,562,2296.98,5991.65,38.34
Left-Hippocampus,395,1614.43,4290.3,37.63
Right-Putamen,517,2113.06,5705.12,37.04
3rd-Ventricle,58,237.05,783.05,30.27
Right-Lateral-Ventricle,206,841.95,5197.81,16.2
Left-Lateral-Ventricle,192,784.73,5343.43,14.69
4th-Ventricle,47,192.1,1729.33,11.11
Left-Inferior-Lateral-Ventricle,12,49.05,738.11,6.64
Right-Inferior-Lateral-Ventricle,10,40.87,774.74,5.28
