Region,SaliencyVoxels,SaliencyVolume_mm3,RawImportance%
Right-Cerebral-White-Matter,43756,178837.45,14.69
Left-Cerebral-White-Matter,43523,177885.14,14.61
Right-Cerebral-Cortex,36580,149508.04,12.28
Left-Cerebral-Cortex,35999,147133.4,12.09
Left-Cerebellum-Cortex,6911,28246.31,2.32
Right-Cerebellum-Cortex,5990,24482.04,2.01
Brain-Stem,3483,14235.55,1.17
Left-Cerebellum-White-Matter,2769,11317.33,0.93
Right-Cerebellum-White-Matter,2629,10745.12,0.88
Left-Thalamus,1281,5235.64,0.43
Right-Thalamus,1249,5104.85,0.42
Left-Ventral-DC,687,2807.87,0.23
Right-Ventral-DC,644,2632.13,0.22
Left-Putamen,562,2296.98,0.19
Right-Putamen,517,2113.06,0.17
Right-Hippocampus,450,1839.22,0.15
Left-Caudate,452,1847.39,0.15
Right-Caudate,413,1687.99,0.14
Left-Hippocampus,395,1614.43,0.13
Right-Pallidum,277,1132.14,0.09
Left-Pallidum,268,1095.36,0.09
Right-Amygdala,196,801.08,0.07
Right-Lateral-Ventricle,206,841.95,0.07
Left-Lateral-Ventricle,192,784.73,0.06
Left-Amygdala,182,743.86,0.06
Right-Accumbens-Area,86,351.5,0.03
3rd-Ventricle,58,237.05,0.02
Left-Accumbens-Area,71,290.19,0.02
4th-Ventricle,47,192.1,0.02
Left-Inferior-Lateral-Ventricle,12,49.05,0.0
Right-Inferior-Lateral-Ventricle,10,40.87,0.0
