epoch,train_loss,val_auc,val_acc
1,0.17964768509070078,0.660663952395866,0.6242424242424243
2,0.17042164987686909,0.6382712182900094,0.5515151515151515
3,0.1543442629051931,0.634669589727529,0.5393939393939394
4,0.14550069369601482,0.6352959599123081,0.5333333333333333
5,0.14094684731328125,0.6431255872220483,0.5575757575757576
6,0.13482969890941274,0.6392107735671781,0.5636363636363636
7,0.13416224882909747,0.6468838083307235,0.5696969696969697
8,0.11712757592851465,0.6559661760100219,0.6060606060606061
9,0.11188255476793557,0.6636392107735672,0.593939393939394
10,0.1125095441824559,0.6564359536486064,0.6060606060606061
11,0.10280341945137038,0.6569057312871908,0.6
12,0.10487091907046057,0.6720952082680864,0.6484848484848484
13,0.08415967335529399,0.6849357970560601,0.6303030303030303
14,0.09769278398968957,0.6782023175696836,0.6303030303030303
15,0.08843400811381412,0.6813341684935798,0.6363636363636364
16,0.08520764386224927,0.6818039461321641,0.6181818181818182
17,0.08358444463687413,0.6810209834011901,0.6242424242424243
18,0.08562475964426994,0.6824303163169433,0.6121212121212121
19,0.0872416716351202,0.6811775759473849,0.6181818181818182
20,0.0831219701237525,0.6814907610397745,0.6242424242424243
21,0.08805227609577053,0.6814907610397745,0.6242424242424243
22,0.08326154527621288,0.6814907610397745,0.6181818181818182
23,0.07608033418655395,0.6819605386783589,0.6181818181818182
24,0.09314749460159377,0.6811775759473849,0.6303030303030303
25,0.08917622210345033,0.6816473535859693,0.6181818181818182
26,0.08610856412260821,0.6814907610397745,0.6363636363636364
27,0.08999725982659694,0.6800814281240213,0.6242424242424243
28,0.08820416965296096,0.6822737237707486,0.6363636363636364
29,0.07855618626979942,0.6808643908549953,0.6303030303030303
30,0.09664880375970494,0.6819605386783589,0.6424242424242425
31,0.08479366445857467,0.6758534293767617,0.6242424242424243
32,0.074166136834714,0.6816473535859693,0.6121212121212121
33,0.07678756943311203,0.6816473535859694,0.6424242424242425
34,0.08908658523225423,0.6746006890072033,0.593939393939394
35,0.07518308947469587,0.6908863138114625,0.6848484848484848
36,0.07936185842775034,0.6742875039148136,0.6363636363636364
37,0.07518118107409189,0.6785155026620733,0.6484848484848484
38,0.08087450511414897,0.6791418728468525,0.6303030303030303
39,0.07453694196530815,0.6849357970560601,0.5454545454545454
40,0.07183463368564844,0.6821171312245536,0.6606060606060606
41,0.08844244144715821,0.6805512057626057,0.6242424242424243
42,0.07062387322075665,0.6847792045098653,0.6606060606060606
43,0.06503397233530202,0.6877544628875665,0.6424242424242425
44,0.07504008832937953,0.6735045411838396,0.6060606060606061
45,0.07128145871119518,0.662229877857814,0.6060606060606061
46,0.054318129814540345,0.6628562480425932,0.6303030303030303
47,0.07965769351770481,0.6556529909176324,0.6363636363636364
48,0.06467057500655453,0.6695897275289697,0.6121212121212121
49,0.07077402483502572,0.6713122455371124,0.6606060606060606
50,0.06306005207765283,0.6594112120263075,0.6
51,0.066382237327652,0.6705292828061384,0.6
52,0.061964812231687545,0.6702160977137489,0.6303030303030303
53,0.045246169707653196,0.6667710616974631,0.6363636363636364
54,0.05791746972721409,0.6714688380833073,0.6303030303030303
55,0.05616167959841815,0.6688067647979956,0.6121212121212121
56,0.0613530540189734,0.6735045411838396,0.6303030303030303
57,0.0458780180775758,0.6709990604447228,0.6363636363636364
58,0.047012352679545684,0.6727215784528656,0.6303030303030303
59,0.0536648457954553,0.6733479486376448,0.6484848484848484
60,0.05472472011055233,0.67319135609145,0.6545454545454545
