epoch,train_loss,val_auc,val_acc
1,0.7133002458196698,0.6160350767303476,0.6181818181818182
2,0.6685860577857856,0.6544002505480739,0.47878787878787876
3,0.652235193866672,0.6042906357657376,0.6242424242424243
4,0.6086120218038559,0.6666144691512683,0.37575757575757573
5,0.555833372834957,0.6891637958033198,0.6060606060606061
6,0.5291543480121728,0.6414030692139053,0.46060606060606063
7,0.482996307042512,0.635452552458503,0.5575757575757576
8,0.48896589561393766,0.6127466332602568,0.3939393939393939
9,0.4398174557496201,0.5884747886000625,0.6242424242424243
10,0.4050172714121414,0.6146257438145944,0.5636363636363636
11,0.39563046981665223,0.5988098966489195,0.5575757575757576
12,0.3718780755770929,0.6080488568744128,0.45454545454545453
13,0.39115409954930797,0.6053867835891013,0.5212121212121212
14,0.41127321768664954,0.5911368618853743,0.509090909090909
15,0.33918269042941657,0.5876918258690886,0.5515151515151515
16,0.32073987849959823,0.6039774506733478,0.5757575757575758
17,0.365435225922953,0.6069527090510491,0.5696969696969697
18,0.3190443471074104,0.5980269339179456,0.5636363636363636
19,0.3511763807273272,0.6030378953961792,0.5575757575757576
20,0.31904156731836725,0.6072658941434388,0.5696969696969697
21,0.3184101418338039,0.6024115252114,0.5696969696969697
22,0.3651700829691959,0.5919198246163482,0.5757575757575758
23,0.3185131858582749,0.5934857500782962,0.5515151515151515
24,0.3199496068737724,0.5917632320701535,0.5454545454545454
25,0.37450920811882527,0.5942687128092703,0.6
26,0.33250794893864427,0.6036642655809584,0.5636363636363636
27,0.31413917333790753,0.609458189790166,0.5696969696969697
28,0.35097907100888814,0.5989664891951143,0.5515151515151515
29,0.2788051744584333,0.587378640776699,0.6181818181818182
30,0.3421544223120718,0.6025681177575948,0.5515151515151515
