Region,SaliencyVoxels,SaliencyVolume_mm3,RawImportance%
Right-Cerebral-White-Matter,35942,146900.44,9.63
Right-Cerebral-Cortex,34347,140381.43,9.2
Left-Cerebral-White-Matter,34151,139580.35,9.15
Left-Cerebral-Cortex,33155,135509.54,8.88
Left-Cerebellum-Cortex,6310,25789.93,1.69
Right-Cerebellum-Cortex,5526,22585.6,1.48
Brain-Stem,2977,12167.45,0.8
Left-Cerebellum-White-Matter,2405,9829.6,0.64
Right-Cerebellum-White-Matter,2311,9445.41,0.62
Left-Thalamus,1032,4217.94,0.28
Right-Thalamus,1034,4226.12,0.28
Left-Ventral-DC,603,2464.55,0.16
Right-Putamen,550,2247.93,0.15
Right-Ventral-DC,573,2341.94,0.15
Left-Putamen,487,1990.44,0.13
Right-Hippocampus,445,1818.78,0.12
Right-Caudate,382,1561.29,0.1
Left-Caudate,369,1508.16,0.1
Left-Hippocampus,377,1540.86,0.1
Left-Lateral-Ventricle,286,1168.93,0.08
Right-Lateral-Ventricle,273,1115.79,0.07
Right-Pallidum,254,1038.14,0.07
Left-Pallidum,237,968.66,0.06
Right-Amygdala,184,752.04,0.05
Left-Amygdala,204,833.78,0.05
4th-Ventricle,105,429.15,0.03
3rd-Ventricle,86,351.5,0.02
Right-Accumbens-Area,77,314.71,0.02
Left-Accumbens-Area,67,273.84,0.02
Left-Inferior-Lateral-Ventricle,29,118.53,0.01
Right-Inferior-Lateral-Ventricle,36,147.14,0.01
