epoch,train_loss,val_auc,val_acc
1,0.6534168546850031,0.6933917945505794,0.6242424242424243
2,0.6403378717827074,0.6879110554337613,0.5878787878787879
3,0.6031866881883505,0.6949577200125273,0.6242424242424243
4,0.639600897919048,0.7057626056999686,0.6363636363636364
5,0.5977839041839946,0.7038834951456311,0.6606060606060606
6,0.6061073868563681,0.7079549013466959,0.593939393939394
7,0.5785885167392817,0.7032571249608519,0.5636363636363636
8,0.5972877686673944,0.7384904478546822,0.696969696969697
9,0.5761877320029519,0.6525211399937363,0.5818181818181818
10,0.5491237718047518,0.6398371437519574,0.6060606060606061
11,0.5473956679755991,0.6584716567491388,0.6
12,0.5121205456329114,0.6663012840588789,0.6242424242424243
13,0.450728480901682,0.7173504541183839,0.503030303030303
14,0.4810621962402806,0.7264328217976824,0.7090909090909091
15,0.4380227639368086,0.6755402442843721,0.4121212121212121
16,0.4165357442064719,0.6958972752896962,0.6545454545454545
17,0.3212025178201271,0.6968368305668651,0.6363636363636364
18,0.3082850932284738,0.6240212965862825,0.48484848484848486
19,0.28021632304245775,0.6650485436893203,0.6606060606060606
20,0.17472037175162272,0.7015346069527091,0.6666666666666666
21,0.17096089239824902,0.6717820231756968,0.6606060606060606
22,0.1383712664303003,0.7096774193548387,0.6545454545454545
23,0.09855465379289606,0.6714688380833073,0.6545454545454545
24,0.07862575999037787,0.6514249921703728,0.5272727272727272
25,0.08806268896512462,0.6569057312871907,0.6363636363636364
26,0.11816774319688028,0.6625430629502036,0.6363636363636364
27,0.07769554662094875,0.6487629188850611,0.6363636363636364
28,0.03471217225023517,0.6797682430316317,0.6848484848484848
29,0.08469478176328156,0.6807077983088005,0.6363636363636364
30,0.037514229199256406,0.7013780144065143,0.6666666666666666
31,0.02063593845108919,0.6869715001565926,0.6484848484848484
32,0.023991809316882582,0.6994989038521766,0.6787878787878788
33,0.01867055702305427,0.6829000939555276,0.6363636363636364
