Region,SaliencyVoxels,SaliencyVolume_mm3,RegionVolume_mm3,VolumeNormImportance%
Right-Cerebral-White-Matter,35942,146900.44,219032.73,67.07
Brain-Stem,2977,12167.45,18370.56,66.23
Left-Cerebral-White-Matter,34151,139580.35,218078.45,64.0
Left-Cerebellum-White-Matter,2405,9829.6,15413.9,63.77
Right-Cerebellum-White-Matter,2311,9445.41,14926.23,63.28
Left-Ventral-DC,603,2464.55,3932.3,62.67
Right-Ventral-DC,573,2341.94,3827.96,61.18
Left-Cerebellum-Cortex,6310,25789.93,42530.02,60.64
Right-Cerebellum-Cortex,5526,22585.6,38764.91,58.26
Right-Pallidum,254,1038.14,1858.25,55.87
Left-Amygdala,204,833.78,1591.65,52.38
Right-Cerebral-Cortex,34347,140381.43,274192.25,51.2
Left-Pallidum,237,968.66,1899.58,50.99
Right-Thalamus,1034,4226.12,8375.05,50.46
Right-Amygdala,184,752.04,1503.46,50.02
Left-Cerebral-Cortex,33155,135509.54,272523.3,49.72
Left-Thalamus,1032,4217.94,8512.04,49.55
3rd-Ventricle,86,351.5,783.05,44.89
Right-Hippocampus,445,1818.78,4459.51,40.78
Right-Putamen,550,2247.93,5705.12,39.4
Right-Accumbens-Area,77,314.71,820.38,38.36
Left-Caudate,369,1508.16,3935.41,38.32
Right-Caudate,382,1561.29,4109.87,37.99
Left-Accumbens-Area,67,273.84,750.18,36.5
Left-Hippocampus,377,1540.86,4290.3,35.91
Left-Putamen,487,1990.44,5991.65,33.22
4th-Ventricle,105,429.15,1729.33,24.82
Left-Lateral-Ventricle,286,1168.93,5343.43,21.88
Right-Lateral-Ventricle,273,1115.79,5197.81,21.47
Right-Inferior-Lateral-Ventricle,36,147.14,774.74,18.99
Left-Inferior-Lateral-Ventricle,29,118.53,738.11,16.06
