Region,SaliencyVoxels,SaliencyVolume_mm3,RegionVolume_mm3,VolumeNormImportance%
Left-Cerebral-White-Matter,43733,178743.44,218078.45,81.96
Right-Cerebral-White-Matter,43737,178759.79,219032.73,81.61
Brain-Stem,3421,13982.15,18370.56,76.11
Right-Cerebellum-White-Matter,2680,10953.57,14926.23,73.38
Left-Cerebellum-White-Matter,2741,11202.89,15413.9,72.68
Left-Ventral-DC,679,2775.18,3932.3,70.57
Right-Ventral-DC,648,2648.47,3827.96,69.19
Left-Cerebellum-Cortex,6970,28487.45,42530.02,66.98
Left-Pallidum,303,1238.41,1899.58,65.19
Right-Cerebellum-Cortex,6142,25103.29,38764.91,64.76
Right-Thalamus,1294,5288.78,8375.05,63.15
Left-Thalamus,1315,5374.61,8512.04,63.14
Right-Pallidum,285,1164.84,1858.25,62.68
Right-Amygdala,207,846.04,1503.46,56.27
Left-Cerebral-Cortex,37506,153292.74,272523.3,56.25
Right-Cerebral-Cortex,37400,152859.5,274192.25,55.75
Left-Amygdala,211,862.39,1591.65,54.18
Left-Caudate,497,2031.31,3935.41,51.62
Right-Caudate,472,1929.14,4109.87,46.94
Right-Accumbens-Area,92,376.02,820.38,45.83
Left-Putamen,649,2652.56,5991.65,44.27
Right-Hippocampus,474,1937.31,4459.51,43.44
Right-Putamen,597,2440.03,5705.12,42.77
Left-Hippocampus,418,1708.43,4290.3,39.82
Left-Accumbens-Area,68,277.93,750.18,37.05
3rd-Ventricle,68,277.93,783.05,35.49
Right-Lateral-Ventricle,263,1074.92,5197.81,20.68
Left-Lateral-Ventricle,224,915.52,5343.43,17.13
4th-Ventricle,50,204.36,1729.33,11.82
Left-Inferior-Lateral-Ventricle,17,69.48,738.11,9.41
Right-Inferior-Lateral-Ventricle,17,69.48,774.74,8.97
