Region,SaliencyVoxels,SaliencyVolume_mm3,RawImportance%
Left-Cerebral-White-Matter,43733,178743.44,12.27
Right-Cerebral-White-Matter,43737,178759.79,12.27
Left-Cerebral-Cortex,37506,153292.74,10.53
Right-Cerebral-Cortex,37400,152859.5,10.5
Left-Cerebellum-Cortex,6970,28487.45,1.96
Right-Cerebellum-Cortex,6142,25103.29,1.72
Brain-Stem,3421,13982.15,0.96
Left-Cerebellum-White-Matter,2741,11202.89,0.77
Right-Cerebellum-White-Matter,2680,10953.57,0.75
Left-Thalamus,1315,5374.61,0.37
Right-Thalamus,1294,5288.78,0.36
Left-Ventral-DC,679,2775.18,0.19
Right-Ventral-DC,648,2648.47,0.18
Left-Putamen,649,2652.56,0.18
Right-Putamen,597,2440.03,0.17
Left-Caudate,497,2031.31,0.14
Right-Hippocampus,474,1937.31,0.13
Right-Caudate,472,1929.14,0.13
Left-Hippocampus,418,1708.43,0.12
Left-Pallidum,303,1238.41,0.09
Right-Pallidum,285,1164.84,0.08
Right-Lateral-Ventricle,263,1074.92,0.07
Left-Lateral-Ventricle,224,915.52,0.06
Right-Amygdala,207,846.04,0.06
Left-Amygdala,211,862.39,0.06
Right-Accumbens-Area,92,376.02,0.03
3rd-Ventricle,68,277.93,0.02
Left-Accumbens-Area,68,277.93,0.02
4th-Ventricle,50,204.36,0.01
Left-Inferior-Lateral-Ventricle,17,69.48,0.0
Right-Inferior-Lateral-Ventricle,17,69.48,0.0
