Region,SaliencyVoxels,SaliencyVolume_mm3,RegionVolume_mm3,VolumeNormImportance%
Right-Cerebral-White-Matter,35872,146614.34,219032.73,66.94
Left-Cerebral-White-Matter,35270,144153.87,218078.45,66.1
Brain-Stem,2912,11901.79,18370.56,64.79
Right-Ventral-DC,572,2337.85,3827.96,61.07
Right-Cerebellum-White-Matter,2193,8963.13,14926.23,60.05
Left-Cerebellum-White-Matter,2240,9155.22,15413.9,59.4
Left-Cerebellum-Cortex,6026,24629.18,42530.02,57.91
Left-Ventral-DC,555,2268.37,3932.3,57.69
Right-Cerebellum-Cortex,5364,21923.49,38764.91,56.55
3rd-Ventricle,103,420.98,783.05,53.76
Right-Thalamus,1087,4442.73,8375.05,53.05
Right-Amygdala,194,792.91,1503.46,52.74
Right-Cerebral-Cortex,35148,143655.24,274192.25,52.39
Left-Thalamus,1091,4459.08,8512.04,52.39
Left-Caudate,500,2043.58,3935.41,51.93
Left-Cerebral-Cortex,34529,141125.29,272523.3,51.78
Left-Amygdala,201,821.52,1591.65,51.61
Right-Pallidum,228,931.87,1858.25,50.15
Left-Pallidum,223,911.44,1899.58,47.98
Right-Caudate,480,1961.83,4109.87,47.73
Right-Hippocampus,488,1994.53,4459.51,44.73
Left-Accumbens-Area,82,335.15,750.18,44.68
Right-Accumbens-Area,89,363.76,820.38,44.34
Left-Hippocampus,430,1757.48,4290.3,40.96
Right-Putamen,554,2264.28,5705.12,39.69
Left-Putamen,568,2321.5,5991.65,38.75
Right-Lateral-Ventricle,389,1589.9,5197.81,30.59
Left-Lateral-Ventricle,375,1532.68,5343.43,28.68
4th-Ventricle,93,380.11,1729.33,21.98
Right-Inferior-Lateral-Ventricle,39,159.4,774.74,20.57
Left-Inferior-Lateral-Ventricle,36,147.14,738.11,19.93
